rna	k9ac	k36ac
ABCC5	-0.286857	7.07347	-0.0408659
ABCC6	0.110877	-2.04772	-2.75615
ABCC8	-2.03475	2.15707	0.435248
ABCC9	0.711075	8.95349	2.25801
ABCD1	-0.10176	1.43726	-2.41452
ABCD3	0.736826	11.2096	-1.6078
ABCD4	-0.592203	-0.217754	-1.92313
ABCE1	0.479759	2.4852	-0.393343
ABCF1	-0.42811	7.17492	-0.648934
ABCF2	1.44719	7.19639	-3.18745
ABCF2P1	0.704156	-1.13327	-0.0525593
ABCF3	-0.721401	4.159	-3.54089
ABCG1	-0.211989	-0.100743	-0.84646
ABHD1	-1.7354	2.71868	0.231415
ABHD10	0.00523709	3.80729	-0.261453
ABHD11	-0.910981	5.79446	-0.295558
ABHD12	-1.1795	0.350785	-1.0145
ABHD16A	0.118517	0.751677	-2.49
ABHD17A	-0.390817	1.10089	-2.83089
ABHD17AP1	-0.0460434	-0.44957	-1.04282
ABHD2	1.29326	3.4407	-0.143713
ABHD3	0.722797	1.2972	-0.558707
ABHD4	1.02467	-0.481056	-0.563049
ABHD5	-0.20736	0.294627	0.259423
ABHD6	-0.0354512	0.625362	-1.11422
ABI1	0.0156568	7.01288	-0.632928
ABI2	0.24644	0.081373	1.09084
ABI3	-0.0572059	-1.61825	-0.596755
ABI3BP	1.06177	-0.187434	2.00029
ABL1	0.978941	6.03513	-0.179159
ABL2	1.00283	1.7725	0.238393
ABLIM1	0.0605122	0.824013	0.612116
ABLIM2	-0.247614	1.92875	-2.87445
ABLIM3	-0.0835013	1.22	-1.60776
ABR	0.320926	-0.168802	-8.31231
ABRA	10.6738	13.306	0.439649
ABT1	-0.012516	8.67811	-2.02401
ABTB1	-1.81043	0.443441	-4.37396
ABTB2	0.263122	6.03151	-0.414632
AC000078.5	-0.719947	-0.445086	-0.250279
AC004076.5	-0.417577	0.558286	-1.73603
AC004381.6	-0.623577	0.0572049	0.721065
AC004386.4	-0.685759	0.302125	-0.124362
AC004447.2	0.0156471	0.302533	-0.90009
AC004453.8	-2.07697	0.867913	-0.924586
AC004840.9	-0.182752	0.0291251	-1.36611
AC004893.11	0.664817	0.294869	-2.0102
AC004967.7	-0.415219	1.25742	-1.3261
AC005014.5	0.00700615	0.170952	-1.30339
AC005154.6	-1.16157	0.929881	-1.23953
AC005154.7	-0.118868	0.76202	-1.59811
AC005229.7	0.46723	-0.896992	-0.27553
AC005329.7	0.585744	0.469262	-2.60566
AC005616.2	0.504165	3.6174	0.26838
AC005618.6	0.0567805	3.89138	0.590797
AC005682.5	0.0588672	2.54527	1.34412
AC005795.1	-1.14315	-1.57582	0.0863135
AC005822.1	-0.0186406	-0.325363	-0.629699
AC006026.10	0.0948928	-0.929476	0.645373
AC006026.9	-0.215359	-0.0539626	0.0511864
AC006033.22	0.381473	-0.0988932	-0.120647
AC006116.22	-0.00898135	-1.9638	-0.803269
AC006480.1	-2.15595	1.81895	-4.16277
AC006548.28	-0.870685	0.418725	-0.265646
AC007041.2	-0.0460059	-0.905748	0.115306
AC007191.4	1.83048	4.38167	-0.0405912
AC007228.9	0.536206	-0.153345	0.194031
AC007229.3	-1.36241	-0.0923636	-0.884201
AC007238.1	-0.0926101	0.0624848	0.264038
AC007246.3	-0.425815	3.22561	-0.199355
AC007256.5	1.41428	3.67398	0.36452
AC007318.5	-0.146335	-0.419137	-0.835938
AC007383.3	0.16845	1.64383	-0.169782
AC007383.6	-0.112531	-1.08779	-0.0545454
AC007560.1	0.631047	-1.30587	0.116953
AC007566.10	-0.0911463	0.70582	-0.902459
AC007743.1	0.00729706	1.02022	1.12278
AC007969.5	-1.26266	-2.44101	0.110995
AC008079.10	0.773001	-0.233923	-0.93636
AC008427.2	-0.954626	3.57979	0.0309696
AC008753.3	-1.62119	-0.226186	-0.0158999
AC009120.6	0.181024	0.0904797	-1.23969
AC009299.5	-0.588321	-0.343797	0.198658
AC009362.2	-0.399867	-0.0867792	0.522068
AC009404.2	-0.292807	0.511712	-0.0687714
AC009948.5	0.188747	4.07453	0.258233
AC010095.6	-0.707506	0.540704	-0.604404
AC010150.1	-0.804321	2.33154	-0.625137
AC010492.2	1.1191	0.00295801	-0.36888
AC010878.3	-0.255296	-0.278017	0.153973
AC010976.2	0.912743	0.175562	-0.750773
AC011239.1	0.735715	7.63393	1.75389
AC012065.1	-0.196593	0.0228704	-0.00967021
AC012066.1	-0.0733196	-0.186099	1.18978
AC012354.8	-0.134396	-0.341974	0.00478637
AC012358.8	0.419371	0.255732	0.145317
AC012360.6	0.314579	5.37418	0.344283
AC012493.1	0.713255	0.258466	-0.00550261
AC012531.25	0.734415	6.79216	-0.269996
AC013275.2	1.0361	0.355123	-1.49469
AC013394.2	0.269393	13.2868	0.218622
AC013437.7	-3.81038	-0.0657376	0.516524
AC013439.4	-0.293665	2.13916	0.202018
AC013470.6	0.30064	-0.601203	0.479939
AC013733.5	0.313833	-0.567758	-0.0976305
AC016292.3	0.587185	8.23173	1.0597
AC016697.2	0.144041	0.823163	-0.100393
AC016739.2	-1.52917	0.290859	1.06726
AC016768.1	-0.391495	-1.28745	0.0806565
AC016995.3	-0.273765	3.37224	1.34355
AC018804.7	-0.2582	-1.3844	-2.82948
AC019097.7	-0.0797765	0.76375	0.327571
AC022182.2	0.479713	-1.79768	-0.253614
AC022431.1	0.0148042	-0.723458	-0.303245
AC024560.3	0.0899926	0.74428	-0.153131
AC025335.1	-0.0989981	4.32501	-0.613708
AC026271.5	0.0857689	-0.665283	-0.306194
AC034220.3	0.161588	-0.0582943	0.135801
AC044839.1	-0.0999802	3.43737	-0.072544
AC053503.12	1.85803	1.49985	-0.239353
AC064850.4	-0.0476472	0.646113	0.536019
AC066692.3	-0.577727	0.28964	-0.0382909
AC067945.3	0.465073	0.661804	0.301961
AC067969.2	-1.37614	1.66275	0.0903964
AC068138.1	0.337918	0.303901	0.217263
AC068491.3	-0.16481	0.013698	-0.299768
AC068538.2	-0.268169	-0.76135	0.42591
AC069213.1	-1.48196	-0.171451	-0.00317661
AC073109.2	2.32266	-0.144852	-0.0855869
AC073254.1	-0.0654829	1.03585	-0.0478687
AC073465.1	-0.527482	-0.240866	1.01606
AC073869.1	0.186863	-1.17353	-0.0611632
AC073869.20	-0.31686	-0.939275	-1.66406
AC074286.1	0.0581829	0.362007	-0.491815
AC078899.1	0.178889	-1.39403	-0.169955
AC079248.1	-0.936749	-0.648878	-0.139538
AC079586.1	1.98825	1.05071	0.182508
AC079780.3	0.942324	-0.255145	-0.161424
AC083843.1	9.51793	0.670773	-1.36428
AC083843.4	-0.219231	2.34458	0.0101486
AC083873.4	-0.670027	-0.204733	0.626755
AC090587.2	-0.110444	0.548474	0.0682773
AC091492.2	-0.094285	-0.278778	-0.395262
AC092066.1	-0.202903	0.602914	-0.164678
AC092171.4	0.0214557	-1.14362	-1.17049
AC092641.2	0.58147	-1.00197	-0.428432
AC092664.1	0.58636	-0.157154	0.242126
AC093106.5	-0.859964	-1.72596	0.367961
AC093627.10	-0.135637	0.354889	0.788845
AC093724.2	0.420507	-0.809483	-0.195248
AC093850.1	-0.278039	-0.556535	1.5708
AC096664.1	-0.104108	0.827414	-0.18616
AC096664.2	1.77104	1.8982	1.48945
AC096669.3	-2.49886	0.583733	0.0787366
AC096772.6	-0.1934	3.56175	-0.526939
AC097523.3	0.196872	-0.309981	0.552384
AC097635.4	-1.25353	-0.176555	0.956936
AC097724.3	-0.0541207	4.46998	0.406097
AC098614.2	1.08949	0.777359	-0.43622
AC104297.1	1.03025	-0.246726	0.111756
AC104651.2	-0.569549	-1.50119	0.0804489
AC105399.2	-0.730575	-0.0364541	0.993317
AC108488.4	-1.50035	2.40664	0.244004
AC109333.10	-2.60719	-0.308712	-2.39792
AC114755.3	1.72808	-1.84994	0.573469
AC114877.3	-1.04846	0.132984	0.114368
AC116366.6	0.599171	0.039835	0.0674762
AC125238.2	0.214403	0.392154	0.346698
AC127904.2	0.0196928	0.266992	-0.183302
AC133528.2	-0.676059	0.322794	0.18165
AC137932.4	-1.01934	-0.503365	-3.07614
AC137932.6	0.107668	0.919611	0.201304
AC141586.5	-0.213989	4.53293	-0.359088
AC240274.1	-1.09437	0.774474	-0.261927
ACAA1	-0.233408	-0.501906	-1.88118
ACAA2	-0.491499	0.929508	0.255735
ACACA	-0.157757	5.16404	0.049331
ACACB	1.24736	5.76834	-0.393828
ACAD10	-0.198886	0.00254469	-0.59585
ACAD8	-1.19562	0.405413	-0.799707
ACAD9	-0.430437	3.33094	-0.336856
ACADL	0.0768163	1.53638	-0.00337732
ACADM	0.837188	3.70424	0.0352434
ACADS	-0.070929	0.946512	-0.461735
ACADSB	1.22417	0.203346	-0.286446
ACAP1	-1.9342	1.24557	-3.77261
ACAP2	0.72196	4.20192	-0.332408
ACAP3	-2.83764	-0.169923	-6.31797
ACAT1	-0.0187411	3.01759	-0.421052
ACAT2	-0.111631	1.74718	-1.53765
ACBD3	1.23559	4.59175	-0.673602
ACBD4	-0.459891	-0.0226639	0.0649036
ACCS	-1.22283	0.508349	-0.922638
ACE	-0.89551	-1.02114	-2.067
ACER2	0.266424	2.03367	-0.127108
ACER3	0.830162	2.08849	0.151955
ACHE	-0.810595	1.49942	-0.157466
ACIN1	0.960225	6.77516	-1.27953
ACKR3	0.00435235	2.8071	1.03051
ACLY	3.20358	0.667588	-2.14559
ACN9	-0.92661	5.37643	-0.150505
ACO1	0.600446	4.68818	0.162621
ACO2	0.621715	4.33486	-0.678599
ACOT1	-0.0623342	0.740106	-0.160167
ACOT11	0.360764	3.48095	0.0422216
ACOT13	-2.09843	1.18472	-0.604108
ACOT2	0.643287	1.44871	-0.719494
ACOT7	-0.44019	-0.0212395	-4.82689
ACOT8	-0.0326307	0.134578	-0.568755
ACOT9	-0.546736	3.07917	-1.09813
ACOX1	1.47335	4.15974	-3.26675
ACOX2	-2.99842	0.583544	-0.391107
ACOX3	1.22814	0.772838	-1.01566
ACP1	-0.16515	1.07821	-0.787409
ACP2	-0.565999	-0.506793	-0.417862
ACP6	-0.485917	2.13119	-0.00290653
ACRC	-0.697024	2.47633	-0.5468
ACSF2	-0.475608	2.72237	-0.328789
ACSF3	-0.256668	-0.220116	-3.3663
ACSL1	0.555414	24.1041	0.719061
ACSL3	3.06184	6.98469	2.43015
ACSL4	0.531552	3.36535	-0.0245267
ACSL5	1.07819	-0.397222	-0.287819
ACSL6	-1.67707	-1.22108	-3.02704
ACSM5	0.466025	0.782044	-0.816701
ACSS1	0.228964	2.41372	0.119766
ACSS2	-0.149805	5.33754	0.312047
ACSS3	-0.0356417	4.38797	0.30715
ACTA1	-0.539702	6.65428	-0.0501914
ACTA2	-0.487734	2.92543	-1.04834
ACTA2-AS1	-1.14387	0.611209	-0.234174
ACTB	2.00265	4.60952	-0.306192
ACTBP11	-0.236002	-0.144637	-0.0336557
ACTBP2	0.907106	-0.741347	-0.00267511
ACTC1	-1.41685	1.19307	-0.0147153
ACTG1	7.8565	0.329202	-3.89878
ACTG1P12	-2.61734	-0.000801622	0.138034
ACTG1P14	0.563768	-1.08616	-0.159483
ACTL6A	-1.48282	5.02269	-0.603996
ACTN1	1.45556	-0.211296	-1.49161
ACTN2	0.943184	9.02203	-0.144671
ACTN3	-0.247254	1.0804	-0.904854
ACTN4	2.20708	3.38619	-4.46189
ACTR10	0.0763383	5.17184	-0.456605
ACTR1A	-0.136174	5.4254	-0.777113
ACTR1B	0.0198054	0.147309	-1.63065
ACTR2	0.547807	4.25641	0.181758
ACTR3	2.51172	0.400656	-0.856684
ACTR3B	0.0795768	3.6941	0.018862
ACTR5	-0.0534708	1.59405	-0.00702364
ACTR6	0.188797	1.41581	0.143954
ACTR8	-0.127088	8.44045	0.206115
ACVR1	0.141028	8.41074	3.61275
ACVR1B	0.285349	4.08158	-0.591507
ACVR1C	0.672819	0.928566	-0.00209415
ACVR2A	-0.245255	7.75059	0.0850237
ACVR2B	0.220713	2.12181	0.163533
ACVRL1	0.353677	3.28081	-1.87933
ACYP2	-2.54277	5.67204	1.0278
ADA	-0.798371	0.479616	-1.18243
ADAL	0.169385	0.827829	0.0112373
ADAM10	0.702681	5.92335	0.0494462
ADAM15	2.03196	2.26276	-2.45307
ADAM19	0.884105	1.31953	-0.0914163
ADAM1A	-1.27288	-0.0589085	-0.498485
ADAM22	-0.375518	1.56559	2.37202
ADAM23	0.0881018	0.535344	-0.390697
ADAM33	-2.29229	-0.260694	-2.35586
ADAM8	-0.0725077	-0.628946	-5.55156
ADAM9	0.700696	1.27672	0.443301
ADAMTS1	22.1815	6.24075	0.148442
ADAMTS10	-1.94294	-1.59374	-6.1344
ADAMTS12	-0.0695623	-0.932129	-0.0755251
ADAMTS13	-2.54247	-0.582805	-0.79396
ADAMTS15	-0.440093	0.159424	-0.203283
ADAMTS17	-0.104586	0.373547	-1.89327
ADAMTS19	-0.48181	-0.0889056	0.369714
ADAMTS2	-0.470196	-0.845288	-8.78234
ADAMTS4	6.91755	0.931811	-0.63213
ADAMTS5	1.93533	1.43385	-1.59056
ADAMTS7	-0.060218	-0.130965	-0.719635
ADAMTS7P4	0.0608446	0.971849	0.44819
ADAMTS8	0.332311	1.38223	-0.679626
ADAMTS9	4.95892	3.3513	0.827284
ADAMTS9-AS2	1.48646	0.604321	1.07628
ADAMTSL2	0.608437	0.275472	-6.82902
ADAMTSL3	5.12222	-0.498898	-0.360861
ADAMTSL4	0.153926	3.07267	-0.229611
ADAMTSL5	0.234976	1.10415	-0.381426
ADAP2	0.303121	-0.191998	-1.40925
ADAR	0.581466	2.30699	-0.252166
ADARB1	-0.1825	6.26794	-0.0298044
ADAT1	-0.41172	4.53185	0.200638
ADAT2	-0.0968525	0.365663	0.349715
ADCK1	-0.964968	1.08974	-1.35166
ADCK2	-0.69763	-0.328328	-1.19014
ADCK3	-0.0780133	10.1339	-0.730925
ADCK4	-0.412355	-0.339602	-3.28377
ADCK5	-0.178888	0.716193	-2.2812
ADCY1	0.0194309	-0.0987544	-7.46017
ADCY10P1	-1.18856	-0.342398	0.016508
ADCY2	0.334184	5.448	0.998813
ADCY3	-0.0409759	-0.129424	-4.12943
ADCY4	0.138821	-0.486136	-1.73905
ADCY5	0.937295	-0.359923	-4.80686
ADCY6	0.0764633	-0.192375	-1.70114
ADCY7	0.274423	-1.12794	-3.91849
ADCY9	2.49013	3.68436	-0.281646
ADCYAP1R1	0.00175938	-1.00315	-2.47296
ADD1	0.212071	8.06268	-0.790949
ADD2	0.415481	-1.75531	-0.54946
ADD3	-0.0563357	3.65841	0.113786
ADH1B	0.112766	2.87726	0.000390386
ADH1C	-0.586357	0.435533	0.00203185
ADH5	0.303724	2.63601	0.538163
ADH5P4	0.166681	-0.498463	-0.22491
ADHFE1	-0.706773	21.5148	3.26723
ADI1	-1.13256	-0.849563	-1.00806
ADIPOR1	-0.298854	3.56846	0.717266
ADIPOR1P2	0.344461	-1.54051	0.714164
ADIPOR2	0.52877	6.9261	0.332698
ADIRF-AS1	-0.191206	0.520251	-0.57794
ADK	-0.613459	6.19284	-0.173215
ADNP	1.02465	1.48379	0.880162
ADNP2	-0.00857259	0.481071	-0.580089
ADO	0.610299	0.686263	0.170914
ADORA1	0.239499	0.914087	-1.06646
ADPGK	0.0144634	0.0108073	-1.11279
ADPRH	-0.180183	0.437791	-0.139361
ADPRHL1	-0.413595	7.37186	-0.477631
ADPRHL2	-0.0853267	1.95762	-0.749231
ADPRM	0.573001	4.4523	0.597947
ADRA2B	3.39298	0.348145	-2.09732
ADRA2C	-0.524086	-0.458603	-4.87194
ADRB2	1.99971	10.6931	0.0458985
ADRBK1	0.909295	2.55568	-5.08647
ADRM1	0.12391	2.07464	-0.135627
ADSL	-0.322495	11.3851	1.07772
ADSS	-0.505212	1.32875	-0.200076
ADSSL1	-0.0797208	4.14115	-1.56457
AEBP1	-0.513695	-0.458133	-2.5675
AEBP2	2.98993	3.22962	-0.673374
AEN	1.12465	0.760919	-1.39871
AES	-0.589016	3.64912	-0.702124
AF064858.8	0.713179	2.53664	0.44796
AF127936.7	-0.851744	0.257847	0.617911
AF131215.2	0.0804186	0.712602	0.100292
AF131215.9	-0.146455	-1.95416	-1.59795
AF241726.2	1.29961	0.438016	0.205916
AFAP1	-0.0808651	1.39946	1.09626
AFAP1L1	0.144365	5.71961	1.19457
AFAP1L2	0.283705	0.473325	-3.28754
AFF1	1.51879	13.2151	0.114365
AFF3	0.0700329	-1.20433	1.17559
AFF4	1.56452	2.10106	0.0260188
AFG3L1P	-0.259809	0.153188	-1.02714
AFG3L2	0.462417	7.80917	-0.29618
AFG3L2P1	0.670731	-1.77674	-0.0131341
AFMID	-0.115201	-0.453511	-2.27197
AFTPH	-0.169647	4.50925	-0.0896376
AGA	-0.193995	0.91665	-0.0369964
AGAP1	0.972997	0.765082	-2.44335
AGAP2	0.82134	-0.619995	0.00696738
AGAP3	-0.586743	0.50442	-6.96085
AGAP6	0.383276	0.0480419	-0.495882
AGBL1	2.56174	-0.342107	-0.788881
AGBL3	-0.560926	3.25508	1.10455
AGBL5	0.11717	-0.398875	-0.135236
AGFG1	0.976546	4.10866	0.0476916
AGFG2	0.386714	1.86131	-3.51314
AGGF1	0.604063	1.17151	-1.73828
AGK	-0.324517	2.94288	0.155323
AGL	2.84524	13.0707	0.783539
AGMAT	-0.607717	4.19973	0.0131494
AGO1	0.342186	0.773523	-0.129263
AGO2	1.82591	1.17255	-1.37516
AGO3	0.400935	0.197433	0.514284
AGO4	1.37929	2.31021	-0.15527
AGPAT1	0.0568063	0.894742	-0.156666
AGPAT2	-0.349008	0.997023	-1.77985
AGPAT3	1.18457	2.10043	-0.857091
AGPAT4	-0.146812	-0.190598	0.710492
AGPAT5	-0.400866	2.26586	0.347663
AGPAT6	0.0579883	5.28567	-0.501993
AGPAT9	0.94839	12.3597	1.99052
AGPS	0.0323977	3.47089	-0.102381
AGRN	-0.350863	-0.53239	-6.7745
AGT	0.179562	1.97135	0.437683
AGTPBP1	0.787966	2.48684	-0.179792
AGTR1	-0.616583	0.118133	0.513241
AGTRAP	0.0478723	1.40755	-1.03254
AHCTF1	0.460895	4.3121	0.504413
AHCTF1P1	1.5308	-0.176332	-0.739132
AHCY	-0.218552	1.42309	-2.13362
AHCYL1	-0.503822	9.10916	0.379497
AHCYL2	2.4884	8.47726	0.935605
AHDC1	0.534038	6.00826	-0.193909
AHI1	-0.160098	1.8177	1.12084
AHNAK	3.68015	5.89087	-1.39695
AHNAK2	-0.492704	-0.5369	-3.49784
AHR	0.0956146	-0.688464	2.72609
AHRR	0.680741	-1.80975	-9.44572
AHSA1	0.948322	-0.564784	-1.4754
AHSA2	-1.8806	3.56051	-0.00760656
AIDA	0.243926	0.114459	-0.471476
AIF1L	0.024792	-0.608123	-3.13562
AIFM1	-0.00124786	3.65341	-0.22052
AIFM2	-0.579113	1.68335	-1.04996
AIG1	-0.424628	3.12692	1.39829
AIM1	-1.42716	0.257468	-0.558854
AIP	0.0375169	2.41843	-0.780504
AJ006998.2	0.311083	0.24784	1.38042
AK1	0.156645	4.50109	-2.39263
AK2	-1.53799	2.46453	-0.0114899
AK3	0.59143	3.64739	0.46471
AK3P2	0.365441	-0.877061	-0.612645
AK6	-1.59189	1.91815	0.0989258
AK9	0.0339648	-0.318436	2.80211
AKAP1	0.347439	6.55541	-0.173774
AKAP10	0.242329	3.93088	0.123823
AKAP11	1.31433	3.24924	0.32892
AKAP12	11.5222	0.994924	-0.83913
AKAP13	2.58279	18.7569	-0.141049
AKAP17A	0.211355	0.621363	-1.6765
AKAP6	1.45109	6.54864	1.55964
AKAP7	-0.317121	2.70129	0.509183
AKAP8	0.0904674	1.01724	-1.5893
AKAP8L	-0.232477	6.51428	-0.0635042
AKAP9	-1.02437	12.0602	0.388966
AKIP1	-0.532277	0.72334	0.076381
AKIRIN1	1.53564	5.92185	-0.760515
AKIRIN2	0.0885698	9.58532	0.400813
AKNA	0.390329	0.0761651	-0.383331
AKR1A1	-1.62153	1.71282	-1.18357
AKR1B1	-0.347601	5.37555	-0.297641
AKR1B10	-0.537826	1.50461	0.576706
AKR1B15	-0.152786	2.91203	0.0861326
AKR1B1P2	-0.00149788	-1.70728	-0.0562908
AKR1B1P7	0.991739	-0.871512	-1.06387
AKR1C1	-3.04314	0.116558	-0.489698
AKR1C2	-0.221784	0.538191	0.088777
AKR1C3	0.101463	-0.245848	-0.385794
AKR7A2	-0.509454	0.547109	-0.0713506
AKR7A2P1	0.345079	0.408909	-1.23108
AKT1	0.0378906	0.185475	-6.1136
AKT1S1	0.0476491	1.88109	-1.87291
AKT2	0.418302	4.22275	-1.30151
AKT3	0.483569	2.37775	0.472386
AKTIP	-0.433573	4.71815	0.0236718
AL035610.1	0.0156837	0.739229	1.98849
AL158801.1	-0.373363	-0.4658	0.401464
AL356585.3	0.785155	-1.59071	-0.507609
AL590762.6	0.276767	0.182547	-0.483789
AL591704.5	0.425325	-0.918832	-0.645901
AL592183.1	0.0968159	0.462374	-1.06234
ALAD	0.432045	1.43887	-2.48479
ALAS1	-0.252488	2.00386	-0.565936
ALCAM	-0.00841003	0.385846	2.01737
ALDH16A1	0.237601	-0.815194	-0.77713
ALDH18A1	-0.189256	0.517624	0.209977
ALDH1A1	0.763473	7.22277	0.140146
ALDH1A2	0.845866	2.00984	1.35815
ALDH1A3	0.945571	-0.270328	-1.15932
ALDH1B1	-1.02708	1.85313	-0.272799
ALDH1L1	0.30986	0.560972	-0.648476
ALDH1L1-AS2	0.172292	0.168041	-0.624529
ALDH1L2	0.538006	0.0837656	-0.164706
ALDH2	-0.0517703	1.10186	-0.520414
ALDH3A2	-0.0741459	1.18914	-1.43438
ALDH3B1	-0.645849	-0.51398	-4.48784
ALDH4A1	0.236518	3.68579	-1.22807
ALDH5A1	0.25352	0.0894731	-0.657767
ALDH6A1	0.908103	-0.265401	0.459437
ALDH7A1	0.449761	0.0989859	0.0530994
ALDH7A1P1	-0.0200883	0.0348134	1.28842
ALDH8A1	-4.20157	0.0825167	-0.1783
ALDH9A1	0.0053721	0.0514108	-1.20749
ALDOA	-0.481688	5.26798	-0.151606
ALDOAP1	-1.37434	1.09348	-2.16467
ALDOAP2	-0.398255	-1.09566	-0.0538737
ALG1	-2.55718	1.24146	-0.94761
ALG10B	-0.344437	6.53117	0.964911
ALG11	1.99598	0.645912	-0.413306
ALG12	-0.618285	-1.20475	-4.62081
ALG13	0.212576	4.00857	-0.330841
ALG14	0.0790503	2.12949	-0.700063
ALG2	0.824461	1.29381	0.346047
ALG3	-0.302396	0.569406	-0.129118
ALG5	-0.521855	1.27543	0.94292
ALG6	0.14288	0.501507	0.329259
ALG8	-0.826287	0.668696	0.0569138
ALG9	-1.1523	7.15872	0.74369
ALKBH1	0.68709	0.615626	0.00409245
ALKBH2	-0.281793	1.9148	0.32207
ALKBH3	-1.55352	1.80798	-0.00261232
ALKBH5	-0.090784	0.455619	-0.142811
ALKBH7	-1.54324	0.374337	0.380349
ALKBH8	-0.136723	2.47105	0.152078
ALMS1	0.419867	0.777601	0.00292176
ALOX5AP	0.423102	0.0729254	-0.111095
ALPK1	-0.605343	0.112579	0.57779
ALPK2	0.604707	4.76448	0.378615
ALPK3	4.00891	7.52511	-1.37682
ALS2	0.571235	4.32803	0.0532361
ALS2CL	-3.51718	1.38784	-0.776542
ALS2CR12	-0.138119	-0.511813	-0.540611
ALX4	0.0592561	0.101831	-0.736706
ALYREF	-0.0172558	0.216506	-0.687716
AMACR	-0.271769	7.54485	0.620923
AMBRA1	0.229196	3.69663	-0.729538
AMD1	5.68486	5.54105	-0.685835
AMDHD2	-2.77488	0.426631	-4.1755
AMER1	2.79932	3.49958	0.038461
AMFR	0.73312	6.73565	0.846123
AMHR2	0.75454	0.21468	0.0478569
AMICA1	-0.701823	-0.067086	0.642388
AMIGO1	-0.440747	1.43995	-1.06596
AMMECR1	1.18182	2.77008	-0.188092
AMMECR1L	3.11632	1.88337	-0.393112
AMOT	1.11719	8.48552	0.58219
AMOTL1	1.04212	5.28858	0.598832
AMOTL2	0.305799	3.77626	0.0638677
AMPD1	-0.883988	7.5687	0.702685
AMPD2	-0.480292	-1.08662	-4.04618
AMPD3	-0.644182	3.43304	-0.219347
AMPH	0.329078	-0.42049	-0.506505
AMT	-9.06334	0.0364625	-2.1099
AMY2B	-3.70876	2.89887	-0.336378
AMZ2	-0.0691505	0.79355	-0.235944
AMZ2P1	-3.59053	4.2838	1.39557
ANAPC1	0.798768	3.17504	0.166676
ANAPC11	-1.95286	0.620523	-0.115927
ANAPC13	-0.0156741	3.24526	0.0403247
ANAPC15	-1.4517	4.50558	0.194028
ANAPC16	-0.448281	2.6596	0.485922
ANAPC2	-0.556015	-2.27393	-11.3548
ANAPC4	0.0496817	2.47032	0.509178
ANAPC5	-1.10406	3.59612	-3.54218
ANAPC7	-2.8557	1.72238	0.421351
ANGEL1	-0.595181	3.60759	-1.01366
ANGEL2	0.243341	2.95926	-0.412033
ANGPT1	0.791436	4.55391	1.53401
ANGPT2	0.0563415	3.2173	1.78321
ANGPTL1	-0.00497957	14.2815	5.78629
ANGPTL2	0.954775	3.96714	-0.00859207
ANGPTL4	1.52117	4.04227	0.0103772
ANK1	-0.625853	1.36308	-1.71989
ANK2	1.18916	3.36517	1.29937
ANK3	0.424205	7.64382	0.793643
ANKAR	1.78429	7.7193	0.242994
ANKDD1A	-0.493909	0.165807	-2.48182
ANKFY1	0.325979	0.718974	-1.71926
ANKH	-0.0767364	3.08695	0.260211
ANKHD1	-0.606525	1.82653	0.124449
ANKIB1	0.916409	2.3643	1.43739
ANKLE2	-0.652193	0.662666	-3.40408
ANKMY1	0.716633	-1.10537	-4.46977
ANKRA2	0.0843234	3.04921	-0.585985
ANKRD1	0.603014	2.58567	0.692902
ANKRD10	-0.174576	15.8441	0.211151
